Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year,Sales,Critic_Score_boxcox,User_Score_boxcox
668,Call of Duty 3,11,5,15,1,123,8.0,8.4,2006.0,2.7,2.032968794763432,1.196998564812187
674,Halo Wars,14,5,15,21,39,8.1,8.5,2009.0,2.67,2.0448386198876856,1.2002538631850523
729,Crisis Core: Final Fantasy VII,10,5,11,35,114,8.1,9.0,2008.0,2.5,2.0448386198876856,1.2156525053377367
753,Resistance 2,11,6,8,32,57,8.5,8.7,2008.0,2.47,2.0908656916242108,1.2065836290555187
767,Kirby Star Allies,7,4,4,27,53,8.1,10.0,2018.0,2.42,2.0448386198876856,1.2426789098694524
836,Resident Evil 4,0,6,7,7,20,9.6,9.3,2005.0,2.3,2.2068560967923654,1.2242488507217923
858,Guitar Hero III: Legends of Rock,5,5,8,29,81,8.2,8.0,2007.0,2.25,2.056559641105323,1.1833291027698085
861,Call of Duty 3,11,5,13,1,37,6.8,7.3,2006.0,2.24,1.8773837888043774,1.1565601109148895
870,Prince of Persia: The Sands of Time,2,5,7,39,126,9.0,9.1,2003.0,2.22,2.1453822341237494,1.2185684511212578
909,Devil May Cry,0,6,7,7,16,9.1,9.3,2001.0,2.16,2.155913504177124,1.2242488507217923
955,Donkey Kong Country: Tropical Freeze,7,3,4,27,99,9.1,9.1,2018.0,2.08,2.155913504177124,1.2185684511212578
969,Call of Duty 2,11,5,15,1,56,8.8,9.1,2005.0,2.06,2.1239561885789233,1.2185684511212578
999,Onimusha: Warlords,0,6,7,7,43,8.7,7.3,2001.0,2.02,2.113055822886608,1.1565601109148895
1027,Donkey Kong Country: Tropical Freeze,7,3,14,27,99,8.8,9.1,2014.0,1.98,2.1239561885789233,1.2185684511212578
1058,Call of Duty: World at War,11,6,13,1,37,8.1,8.9,2008.0,1.94,2.0448386198876856,1.2126840967047017
1081,Dissidia: Final Fantasy,3,5,11,35,114,8.1,10.0,2009.0,1.9,2.0448386198876856,1.2426789098694524
1084,Monster Hunter Tri,10,5,13,7,18,8.1,10.0,2010.0,1.9,2.0448386198876856,1.2426789098694524
1090,Ratchet & Clank Future: A Crack in Time,7,4,8,32,57,8.7,9.0,2009.0,1.89,2.113055822886608,1.2156525053377367
1105,Star Wars: The Force Unleashed,0,5,13,18,67,6.8,7.4,2008.0,1.86,1.8773837888043774,1.1606320000389665
1111,The Legend of Dragoon,10,5,6,32,106,7.8,6.5,2000.0,1.86,2.008767447051412,1.1204255054291363
1134,Demon's Souls,10,6,8,4,44,9.1,9.5,2009.0,1.83,2.155913504177124,1.229736527294403
1199,Crackdown,11,6,15,21,98,8.4,7.0,2007.0,1.75,2.079569725380676,1.1437879618140283
1341,The Legend of Zelda: Breath of the Wild,1,4,14,27,85,10.0,10.0,2017.0,1.61,2.2456949546011677,1.2426789098694524
1363,Sonic Unleashed,7,4,13,31,112,6.7,8.2,2008.0,1.6,1.8631733327726454,1.1902976013190072
1382,Devil May Cry 4,0,6,8,7,16,8.2,8.2,2008.0,1.58,2.056559641105323,1.1902976013190072
1395,AudioSurf,5,3,5,16,8,8.2,9.0,2008.0,1.56,2.056559641105323,1.2156525053377367
1412,Yoshi's Woolly World,7,3,14,27,50,7.4,6.0,2015.0,1.55,1.9584023628786658,1.0939876565932412
1420,Sonic the Hedgehog (2006),7,4,15,31,111,4.8,4.8,2006.0,1.54,1.5420734597488612,1.0131537681697
1455,Call of Duty: Modern Warfare: Reflex Edition,11,6,13,1,123,7.2,8.9,2009.0,1.51,1.9321664340651772,1.2126840967047017
1482,Octopath Traveler,10,5,4,27,114,8.1,8.7,2018.0,1.5,2.0448386198876856,1.2065836290555187
1523,Tom Clancy's Splinter Cell: Pandora Tomorrow,0,5,16,39,130,9.2,9.0,2004.0,1.48,2.1663271785461173,1.2156525053377367
1541,Resident Evil 4: Wii Edition,0,6,13,7,20,9.2,9.7,2007.0,1.46,2.1663271785461173,1.2350418743440592
1563,The House of the Dead 2 & 3 Return,11,6,13,31,109,6.5,7.0,2008.0,1.45,1.83409048386904,1.1437879618140283
1565,BioShock,11,6,8,0,1,9.3,9.6,2008.0,1.44,2.176625827353189,1.2324113729573496
1604,Metroid Prime 3: Corruption,11,5,13,27,99,9.0,9.4,2007.0,1.41,2.1453822341237494,1.2270161111084543
1732,Grand Theft Auto: Chinatown Wars,2,6,1,30,101,9.5,9.6,2009.0,1.33,2.1968879170204083,1.2324113729573496
1741,MAG: Massive Action Game,11,5,8,32,139,7.4,9.5,2010.0,1.32,1.9584023628786658,1.229736527294403
1772,Final Fantasy: Crystal Chronicles,10,5,2,27,114,7.7,7.5,2004.0,1.3,1.9964279097031141,1.1646165300732292
1775,Resident Evil: The Umbrella Chronicles,11,6,13,7,21,7.5,8.0,2007.0,1.3,1.9712498725148517,1.1833291027698085
1814,Castlevania: Symphony of the Night,7,5,6,17,66,9.3,9.0,1997.0,1.27,2.176625827353189,1.2156525053377367
1916,Bayonetta,0,6,8,31,89,8.6,7.2,2010.0,1.21,2.102026672523484,1.1523977108225032
1942,Final Fantasy IV,10,4,1,35,72,8.5,9.0,2008.0,1.2,2.0908656916242108,1.2156525053377367
1951,Sonic and the Black Knight,7,4,13,31,111,4.8,8.5,2009.0,1.2,1.5420734597488612,1.2002538631850523
2002,Army of Two,11,6,8,11,35,7.4,6.9,2008.0,1.17,1.9584023628786658,1.1393334684813785
2020,World of Warcraft,4,5,5,6,12,9.2,8.0,2004.0,1.16,2.1663271785461173,1.1833291027698085
2030,The Elder Scrolls V: Skyrim,10,6,4,5,10,8.6,9.1,2017.0,1.15,2.102026672523484,1.2185684511212578
2057,Shadow of the Colossus,2,5,7,32,119,9.1,9.4,2005.0,1.14,2.155913504177124,1.2270161111084543
2082,Mirror's Edge,7,5,8,11,34,7.7,8.2,2008.0,1.13,1.9964279097031141,1.1902976013190072
2166,FIFA 18,13,3,4,10,36,5.8,9.1,2017.0,1.1,1.7245704123697918,1.2185684511212578
2204,Dante's Inferno,0,6,8,11,137,7.3,8.3,2010.0,1.08,1.945376210998866,1.193680474153519
2217,Star Fox: Assault,11,5,2,27,78,6.6,8.5,2005.0,1.08,1.8487444787622223,1.2002538631850523
2224,Prince of Persia,2,5,8,39,126,8.3,8.2,2008.0,1.07,2.0681355047937178,1.1902976013190072
2343,Dragon Ball Z: Budokai Tenkaichi 3,3,5,13,3,113,7.5,8.6,2007.0,1.03,1.9712498725148517,1.2034482755595182
2379,Prince of Persia,2,5,15,39,126,8.2,6.0,2008.0,1.01,2.056559641105323,1.0939876565932412
2398,Devil May Cry 3: Dante's Awakening Special Edition,0,6,7,7,16,8.8,8.6,2006.0,1.0,2.1239561885789233,1.2034482755595182
2416,MotorStorm: Pacific Rift,9,5,8,32,41,8.0,8.7,2008.0,1.0,2.032968794763432,1.2065836290555187
2426,Valkyria Chronicles,10,5,8,31,110,8.4,9.8,2008.0,1.0,2.079569725380676,1.2376292125035737
2514,de Blob,7,3,13,37,13,8.1,8.0,2008.0,0.96,2.0448386198876856,1.1833291027698085
2547,Red Steel,11,5,13,39,127,5.9,7.8,2006.0,0.95,1.7410184762456495,1.1760752893133055
