Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
668,Call of Duty 3,15,1,123,2006.0,2.7,0.07269789983844911,0.6666666666666665,0.7857142857142857,0.8333333333333333,0.023255813953488372,0.8601398601398601,0.45454545454545325,0.39645326210167087,0.4654154445583176
674,Halo Wars,15,21,39,2009.0,2.67,0.07189014539579967,0.6666666666666665,1.0,0.8333333333333333,0.4883720930232558,0.2727272727272727,0.5909090909090935,0.40235640261615,0.47080687478001737
729,Crisis Core: Final Fantasy VII,11,35,114,2008.0,2.5,0.0673128702207862,0.6666666666666665,0.7142857142857142,0.611111111111111,0.813953488372093,0.7972027972027972,0.5454545454545467,0.40235640261615,0.49631012983250167
753,Resistance 2,8,32,57,2008.0,2.47,0.06650511577813678,1.0,0.7857142857142857,0.4444444444444444,0.7441860465116279,0.3986013986013986,0.5454545454545467,0.42524673748515707,0.4812902428469137
767,Kirby Star Allies,4,27,53,2018.0,2.42,0.06515885837372105,0.33333333333333326,0.5,0.2222222222222222,0.627906976744186,0.3706293706293706,1.0,0.40235640261615,0.5410713029989174
836,Resident Evil 4,7,7,20,2005.0,2.3,0.061927840603123306,1.0,0.0,0.38888888888888884,0.16279069767441862,0.13986013986013987,0.4090909090909065,0.4829314677041322,0.5105474104105558
858,Guitar Hero III: Legends of Rock,8,29,81,2007.0,2.25,0.060581583198707586,0.6666666666666665,0.3571428571428571,0.4444444444444444,0.6744186046511628,0.5664335664335665,0.5,0.40818553948182534,0.44277606029051264
861,Call of Duty 3,13,1,37,2006.0,2.24,0.06031233171782445,0.6666666666666665,0.7857142857142857,0.7222222222222222,0.023255813953488372,0.25874125874125875,0.45454545454545325,0.31907721464451644,0.3984412143992555
870,Prince of Persia: The Sands of Time,7,39,126,2003.0,2.22,0.05977382875605816,0.6666666666666665,0.14285714285714285,0.38888888888888884,0.9069767441860465,0.8811188811188811,0.318181818181813,0.45235908390724366,0.5011395237686023
909,Devil May Cry,7,7,16,2001.0,2.16,0.05815831987075929,1.0,0.0,0.38888888888888884,0.16279069767441862,0.11188811188811189,0.22727272727271952,0.45759652980642274,0.5105474104105558
955,Donkey Kong Country: Tropical Freeze,4,27,99,2018.0,2.08,0.056004308023694126,0.0,0.5,0.2222222222222222,0.627906976744186,0.6923076923076923,1.0,0.45759652980642274,0.5011395237686023
969,Call of Duty 2,15,1,56,2005.0,2.06,0.05546580506192784,0.6666666666666665,0.7857142857142857,0.8333333333333333,0.023255813953488372,0.3916083916083916,0.4090909090909065,0.4417034123875093,0.5011395237686023
999,Onimusha: Warlords,7,7,43,2001.0,2.02,0.054388799138395255,1.0,0.0,0.38888888888888884,0.16279069767441862,0.3006993006993007,0.22727272727271952,0.4362824066298535,0.3984412143992555
1027,Donkey Kong Country: Tropical Freeze,14,27,99,2014.0,1.98,0.05331179321486268,0.0,0.5,0.7777777777777777,0.627906976744186,0.6923076923076923,0.818181818181813,0.4417034123875093,0.5011395237686023
1058,Call of Duty: World at War,13,1,37,2008.0,1.94,0.0522347872913301,1.0,0.7857142857142857,0.7222222222222222,0.023255813953488372,0.25874125874125875,0.5454545454545467,0.40235640261615,0.4913938468435439
1081,Dissidia: Final Fantasy,11,35,114,2009.0,1.9,0.051157781367797514,0.6666666666666665,0.21428571428571427,0.611111111111111,0.813953488372093,0.7972027972027972,0.5909090909090935,0.40235640261615,0.5410713029989174
1084,Monster Hunter Tri,13,7,18,2010.0,1.9,0.051157781367797514,0.6666666666666665,0.7142857142857142,0.7222222222222222,0.16279069767441862,0.1258741258741259,0.636363636363626,0.40235640261615,0.5410713029989174
1090,Ratchet & Clank Future: A Crack in Time,8,32,57,2009.0,1.89,0.05088852988691437,0.33333333333333326,0.5,0.4444444444444444,0.7441860465116279,0.3986013986013986,0.5909090909090935,0.4362824066298535,0.49631012983250167
1105,Star Wars: The Force Unleashed,13,18,67,2008.0,1.86,0.050080775444264945,0.6666666666666665,0.0,0.7222222222222222,0.41860465116279066,0.46853146853146854,0.5454545454545467,0.31907721464451644,0.4051850834915489
1111,The Legend of Dragoon,6,32,106,2000.0,1.86,0.050080775444264945,0.6666666666666665,0.7142857142857142,0.3333333333333333,0.7441860465116279,0.7412587412587412,0.18181818181817277,0.3844173681699308,0.33859502466470004
1134,Demon's Souls,8,4,44,2009.0,1.83,0.049273021001615507,1.0,0.7142857142857142,0.4444444444444444,0.09302325581395349,0.3076923076923077,0.5909090909090935,0.45759652980642274,0.5196361088742993
1199,Crackdown,15,21,98,2007.0,1.75,0.04711900915455035,1.0,0.7857142857142857,0.8333333333333333,0.4883720930232558,0.6853146853146853,0.5,0.4196289903587781,0.377287961219017
1341,The Legend of Zelda: Breath of the Wild,14,27,85,2017.0,1.61,0.04334948842218632,0.33333333333333326,0.07142857142857142,0.7777777777777777,0.627906976744186,0.5944055944055944,0.9545454545454533,0.5022469363540257,0.5410713029989174
1363,Sonic Unleashed,13,31,112,2008.0,1.6,0.043080236941303175,0.33333333333333326,0.5,0.7222222222222222,0.7209302325581395,0.7832167832167832,0.5454545454545467,0.3120100238601521,0.4543172984120898
1382,Devil May Cry 4,8,7,16,2008.0,1.58,0.04254173397953689,1.0,0.0,0.4444444444444444,0.16279069767441862,0.11188811188811189,0.5454545454545467,0.40818553948182534,0.4543172984120898
1395,AudioSurf,5,16,8,2008.0,1.56,0.04200323101777059,0.0,0.3571428571428571,0.2777777777777778,0.37209302325581395,0.055944055944055944,0.5454545454545467,0.40818553948182534,0.49631012983250167
1412,Yoshi's Woolly World,14,27,50,2015.0,1.55,0.04173397953688745,0.0,0.5,0.7777777777777777,0.627906976744186,0.34965034965034963,0.8636363636363598,0.35936963867240057,0.2948086183559251
1455,Call of Duty: Modern Warfare: Reflex Edition,13,1,123,2009.0,1.51,0.04065697361335487,1.0,0.7857142857142857,0.7222222222222222,0.023255813953488372,0.8601398601398601,0.5909090909090935,0.3463219001680278,0.4913938468435439
1482,Octopath Traveler,4,27,114,2018.0,1.5,0.04038772213247173,0.6666666666666665,0.7142857142857142,0.2222222222222222,0.627906976744186,0.7972027972027972,1.0,0.40235640261615,0.4812902428469137
1523,Tom Clancy's Splinter Cell: Pandora Tomorrow,16,39,130,2004.0,1.48,0.039849219170705434,0.6666666666666665,0.0,0.8888888888888888,0.9069767441860465,0.9090909090909091,0.36363636363635976,0.4627754926326392,0.49631012983250167
1541,Resident Evil 4: Wii Edition,13,7,20,2007.0,1.46,0.039310716208939146,1.0,0.0,0.7222222222222222,0.16279069767441862,0.13986013986013987,0.5,0.4627754926326392,0.5284228328989069
1563,The House of the Dead 2 & 3 Return,13,31,109,2008.0,1.45,0.039041464728056,1.0,0.7857142857142857,0.7222222222222222,0.7209302325581395,0.7622377622377622,0.5454545454545467,0.29754644568252986,0.377287961219017
1565,BioShock,8,0,1,2008.0,1.44,0.03877221324717286,1.0,0.7857142857142857,0.4444444444444444,0.0,0.006993006993006993,0.5454545454545467,0.46789725056765674,0.5240661924161956
1604,Metroid Prime 3: Corruption,13,27,99,2007.0,1.41,0.03796445880452342,0.6666666666666665,0.7857142857142857,0.7222222222222222,0.627906976744186,0.6923076923076923,0.5,0.45235908390724366,0.5151305513614208
1732,Grand Theft Auto: Chinatown Wars,1,30,101,2009.0,1.33,0.03581044695745827,1.0,0.14285714285714285,0.05555555555555555,0.6976744186046512,0.7062937062937062,0.5909090909090935,0.4779740597177907,0.5240661924161956
1741,MAG: Massive Action Game,8,32,139,2010.0,1.32,0.03554119547657512,0.6666666666666665,0.7857142857142857,0.4444444444444444,0.7441860465116279,0.972027972027972,0.636363636363626,0.35936963867240057,0.5196361088742993
